season,situation,name,team,pos,gp,toi,cf,ca,cf60,ca60,cf_per,tmcf60,tmca60,tmcf_per,oppcf60,oppca60,oppcf_per,cf60reltm,ca60reltm,cf_per_reltm,csh_per,csv_per,cpdo,totfo,nzfo,dzfo,ozfo,igoals,iassists,ipoints,ishot_per,igoals60,iassists60,ipoints60,ipp,igp,iap,gf,ga,gf60,ga60,gf_per,tmgf60,tmga60,tmgf_per,oppgf60,oppga60,oppgf_per,gf60reltm,ga60reltm,gf_per_reltm
2014-2015,5v5,DALE WEISE,Montreal,F(RW),79,891:21:00,755,888,50.8,59.8,46,53.7,57.5,48.3,54.1,54.1,50,-2.87,2.29,-2.3,5.3,97.5,102.8,892,318,305,269,9,18,27,10.2,0.61,1.21,1.82,67.5,22.5,45,40,22,2.69,1.48,64.5,2,1.91,51.1,2.22,2.24,49.8,0.69,-0.43,13.4
2014-2015,5v5,STEPHEN WEISS,Detroit,F(C),52,472:42:00,411,369,52.2,46.8,52.7,52.4,46.3,53.1,53.7,54.9,49.5,-0.22,0.53,-0.4,4.6,95.9,100.6,455,152,132,171,6,10,16,15.4,0.76,1.27,2.03,84.2,31.6,52.6,19,15,2.41,1.9,55.9,1.91,1.94,49.7,2.18,2.23,49.5,0.5,-0.03,6.2
2014-2015,5v5,ALEXANDER WENNBERG,Columbus,F(C),68,805:39:00,671,707,50,52.7,48.7,50.9,56.3,47.5,54,54.8,49.7,-0.94,-3.62,1.2,3.1,94.2,97.3,749,265,258,226,1,11,12,1.5,0.07,0.82,0.89,57.1,4.8,52.4,21,41,1.56,3.05,33.9,2.41,2.44,49.7,2.18,2.22,49.6,-0.85,0.61,-15.8
2014-2015,5v5,BLAKE WHEELER,Winnipeg,F(RW),79,1060:28:00,1074,909,60.8,51.4,54.2,53.9,52.3,50.8,55.2,54.5,50.4,6.9,-0.83,3.4,4.5,97,101.5,1123,389,358,376,15,21,36,8.6,0.85,1.19,2.04,75,31.3,43.8,48,27,2.72,1.53,64,2.05,2.15,48.8,2.31,2.22,51,0.67,-0.62,15.2
2014-2015,5v5,RYAN WHITE,Philadelphia,F(C),34,359:48:00,316,311,52.7,51.9,50.4,53.1,55.1,49.1,53.3,55.1,49.2,-0.42,-3.26,1.3,4.1,96.8,100.9,319,120,92,107,6,5,11,14.3,1,0.83,1.83,84.6,46.2,38.5,13,10,2.17,1.67,56.5,1.9,2.03,48.4,2.13,2.22,48.9,0.26,-0.36,8.1
2014-2015,5v5,DENNIS WIDEMAN,Calgary,D,80,1490:56:00,1276,1700,51.4,68.4,42.9,49.1,60.7,44.7,54.9,54.3,50.3,2.24,7.69,-1.8,5.3,96.5,101.7,1504,476,522,506,7,21,28,7.5,0.28,0.85,1.13,41.8,10.5,31.3,67,60,2.7,2.42,52.8,2.5,2.33,51.9,2.24,2.24,49.9,0.19,0.09,0.9
2014-2015,5v5,PATRICK WIERCIOCH,Ottawa,D,56,809:16:00,823,691,61,51.2,54.4,54.1,56.3,49,53.3,54.1,49.6,6.92,-5.03,5.3,3.6,96.1,99.7,707,243,206,258,1,6,7,2,0.07,0.44,0.52,23.3,3.3,20,30,27,2.22,2,52.6,2.37,2.27,51.1,2.14,2.2,49.3,-0.14,-0.26,1.6
2014-2015,5v5,JUSTIN WILLIAMS,Los Angeles,F(RW),81,1089:46:00,1112,835,61.2,46,57.1,57.2,48.7,54,54.3,55.1,49.6,4.02,-2.75,3.1,4.3,95.8,100.1,1042,378,300,364,14,14,28,10,0.77,0.77,1.54,58.3,29.2,29.2,48,35,2.64,1.93,57.8,2.07,1.97,51.3,2.24,2.27,49.6,0.57,-0.04,6.5
2014-2015,5v5,COLIN WILSON,Nashville,F(C),77,994:15:00,1080,871,65.2,52.6,55.4,57.8,53,52.2,54.9,54.4,50.3,7.36,-0.43,3.2,4.4,96.9,101.3,1027,351,277,399,16,17,33,12.1,0.97,1.03,1.99,70.2,34,36.2,47,27,2.84,1.63,63.5,2.57,2.08,55.3,2.27,2.24,50.3,0.26,-0.45,8.2
2014-2015,5v5,TOM WILSON,Washington,F(RW),67,718:13:00,674,611,56.3,51,52.5,56,53.1,51.3,53.3,54.6,49.4,0.33,-2.06,1.1,3.3,96.4,99.7,653,244,175,234,4,12,16,5.1,0.33,1,1.34,72.7,18.2,54.6,22,22,1.84,1.84,50,2.36,2.12,52.7,2.16,2.25,48.9,-0.52,-0.29,-2.7
2014-2015,5v5,TOMMY WINGELS,San Jose,F(C),75,970:52:00,923,979,57,60.5,48.5,59.6,55.9,51.6,54.6,54.6,50,-2.58,4.62,-3.1,3.3,96,99.3,931,341,301,289,8,13,21,6.7,0.49,0.8,1.3,70,26.7,43.3,30,39,1.85,2.41,43.5,2.26,2.34,49.1,2.24,2.27,49.6,-0.4,0.07,-5.6
2014-2015,5v5,DANIEL WINNIK,Pittsburgh,F(C),79,1021:52:00,942,917,55.3,53.8,50.7,53.4,58.2,47.9,54.6,53.7,50.4,1.92,-4.34,2.8,4.4,97.5,101.8,1014,372,334,308,9,21,30,9.9,0.53,1.23,1.76,73.2,22,51.2,41,23,2.41,1.35,64.1,2.16,2.74,44.1,2.22,2.2,50.3,0.25,-1.39,20
2014-2015,5v5,JAMES WISNIEWSKI,Anaheim,D,69,1060:19:00,993,1028,56.2,58.2,49.1,50.4,54.8,47.9,54,54.2,49.9,5.84,3.41,1.2,4.2,94.9,99.2,1017,333,333,351,1,15,16,1.1,0.06,0.85,0.91,38.1,2.4,35.7,42,52,2.38,2.94,44.7,2.29,2.37,49.2,2.19,2.16,50.3,0.08,0.57,-4.5
2014-2015,5v5,LUKE WITKOWSKI,Tampa Bay,D,16,226:07:00,198,192,52.5,50.9,50.8,56.1,49.4,53.2,55.2,53.3,50.9,-3.59,1.58,-2.4,5.1,95.3,100.4,199,63,73,63,0,0,0,0,0,0,0,0,0,0,10,9,2.65,2.39,52.6,2.73,2.06,57.1,2.28,2.19,51.1,-0.08,0.33,-4.4
