season,situation,name,toi,gp,gf,ga,gf60,ga60,gf_per,cf,ca,cf60,ca60,cf_per,sh_per,sv_per,pdo,csh_per,csv_per,cpdo,nzfo_per,dzfo_per,ozfo_per
2013-2014,5v5 All,Winnipeg,3881:59:00,82,152,160,2.35,2.47,48.7,3647,3635,56.37,56.18,50.1,7.81,91.62,99.43,4.17,95.6,99.77,38.35,30.19,31.47
2014-2015,5v5 Close,Anaheim,2387:05:00,82,95,88,2.39,2.21,51.9,2251,2180,56.58,54.79,50.8,8.31,92.11,100.43,4.22,95.96,100.18,36.92,32.15,30.93
2014-2015,5v5 Close,Arizona,2473:47:00,82,68,107,1.65,2.6,38.9,2242,2535,54.38,61.48,46.9,5.9,92.12,98.02,3.03,95.78,98.81,36.19,33.33,30.48
2014-2015,5v5 Close,Boston,2698:49:00,82,98,96,2.18,2.13,50.5,2569,2359,57.11,52.45,52.1,7.23,92.86,100.09,3.81,95.93,99.75,35.27,31.99,32.74
2014-2015,5v5 Close,Buffalo,2501:16:00,82,71,105,1.7,2.52,40.3,1700,2858,40.78,68.56,37.3,7.26,92.73,99.99,4.18,96.33,100.5,35.73,38.18,26.09
2014-2015,5v5 Close,Calgary,2461:11:00,82,86,99,2.1,2.41,46.5,2123,2586,51.76,63.04,45.1,7.96,92,99.96,4.05,96.17,100.22,34.95,35.5,29.56
2014-2015,5v5 Close,Carolina,2461:45:00,82,80,101,1.95,2.46,44.2,2383,2228,58.08,54.3,51.7,6.38,91.15,97.53,3.36,95.47,98.82,35.39,30.22,34.4
2014-2015,5v5 Close,Chicago,2489:36:00,82,100,84,2.41,2.02,54.3,2549,2169,61.43,52.27,54,7.23,93.14,100.37,3.92,96.13,100.05,35.9,29.49,34.61
2014-2015,5v5 Close,Colorado,2524:43:00,82,95,103,2.26,2.45,48,1969,2619,46.79,62.24,42.9,8.42,92.31,100.73,4.82,96.07,100.89,34.94,35.06,30
2014-2015,5v5 Close,Columbus,2336:24:00,82,85,107,2.18,2.75,44.3,1932,2238,49.61,57.47,46.3,7.9,91.53,99.43,4.4,95.22,99.62,36.65,34.42,28.93
2014-2015,5v5 Close,Dallas,2345:12:00,82,113,98,2.89,2.51,53.6,2451,2240,62.71,57.31,52.2,9.12,91.39,100.51,4.61,95.63,100.24,38.77,30.24,30.99
2014-2015,5v5 Close,Detroit,2540:50:00,82,81,85,1.91,2.01,48.8,2272,1959,53.65,46.26,53.7,6.71,92.58,99.28,3.57,95.66,99.23,36.51,28.68,34.81
2014-2015,5v5 Close,Edmonton,2499:02:00,82,83,115,1.99,2.76,41.9,2218,2462,53.25,59.11,47.4,7.16,91.02,98.17,3.74,95.33,99.07,36.9,31.59,31.51
